index,total,function,status,seconds,root_table,root_records,derived_records,skipped
1,53,application_all,OK,2.647,query_application_all,1,81393,
2,53,catalog_items,OK,1.771,query_catalog_items,1003,5130,
3,53,catalog_categories,OK,0.179,query_catalog_categories,16,64,
4,53,catalog_species,OK,0.088,query_catalog_species,62,1625,
5,53,catalog_reserves,OK,0.078,query_catalog_reserves,12,372,
6,53,catalog_locations,OK,0.066,query_catalog_locations,147,0,
7,53,catalog_missions,OK,0.847,query_catalog_missions,692,60266,
8,53,catalog_mission_groups,OK,0.193,query_catalog_mission_groups,71,8331,
9,53,catalog_collectables,OK,0.062,query_catalog_collectables,70,0,
10,53,catalog_achievements,OK,0.098,query_catalog_achievements,174,1387,
11,53,catalog_ranks,OK,0.067,query_catalog_ranks,3,115,
12,53,missions,OK,0.944,query_missions,1,0,
13,53,daily_missions_calendar,OK,0.392,query_daily_missions_calendar,1,0,
14,53,user_by_hostname,OK,0.655,query_user_by_hostname,1,235,
15,53,ranks_general,OK,0.231,query_ranks_general,115,0,
16,53,ranks_animals,OK,0.242,query_ranks_animals,51,0,
17,53,ranks_weapons,OK,0.238,query_ranks_weapons,61,0,
18,53,ranks_collectables,OK,0.222,query_ranks_collectables,3,0,
19,53,achievements_general,OK,0.332,query_achievements_general,106,364,
20,53,achievements_animals,OK,0.427,query_achievements_animals,51,165,
21,53,achievements_weapons,OK,0.453,query_achievements_weapons,50,179,
22,53,achievements_exploration,OK,0.89,query_achievements_exploration,2,14,
23,53,achievements_daily_missions,OK,0.291,query_achievements_daily_missions,3,6,
24,53,achievements_challenges,OK,0.647,query_achievements_challenges,1,22,
25,53,skills_species,OK,0.747,query_skills_species,1,118,
26,53,skills_weapons,OK,0.319,query_skills_weapons,1,141,
27,53,statistics_last_hunt,OK,0.476,query_statistics_last_hunt,1,1,
28,53,statistics_lifetime,OK,0.426,query_statistics_lifetime,1,235,
29,53,statistics_history,OK,2.325,query_statistics_history,1,198,
30,53,statistics_expeditions_details,OK,131.379,query_statistics_expeditions_details,198,1229,
31,53,statistics_best,OK,0.315,query_statistics_best,1,52,
32,53,gallery,OK,36.945,query_gallery,1,863,
33,53,trophies,OK,0.92,query_trophies,1,90,
34,53,dogs,OK,0.591,query_dogs,6,0,
35,53,inventory,OK,1.291,query_inventory,387,0,
36,53,friends,OK,0.619,query_friends,1,25,
37,53,competitions_upcoming,SKIPPED,0.052,,,,used only as source ids for query_competitions
38,53,competitions_previous,SKIPPED,0.049,,,,replaced by query_competitions
39,53,competition_states,OK,0.386,query_player_competition_state,1,0,
40,53,community_league_states,OK,0.31,query_community_league_states,1,0,
41,53,competition_detail,OK,61.071,query_competitions,100,1470,
42,53,leaderboards_score,OK,28.431,query_leaderboards_score,57,570,
43,53,leaderboards_range,OK,25.045,query_leaderboards_range,57,570,
44,53,leaderboards_hunterscore,SKIPPED,0.059,,,,disabled by sync configuration
45,53,leaderboards_hall_of_fame,OK,7.486,query_leaderboards_hall_of_fame,52,0,
46,53,leaderboards_lanebandit,OK,10.602,query_leaderboards_lanebandit,1,10,
47,53,leaderboards_bustthrough,OK,8.271,query_leaderboards_bustthrough,1,10,
48,53,leaderboards_antlers_single,OK,0.261,query_leaderboards_antlers_single,17,170,
49,53,leaderboards_antlers_double,OK,0.262,query_leaderboards_antlers_double,17,167,
50,53,leaderboard_details_score,OK,19.668,query_leaderboard_details_score,57,570,
51,53,leaderboard_details_range,OK,20.32,query_leaderboard_details_range,57,570,
52,53,leaderboards_current_personal,OK,0.597,query_leaderboards_current_personal,54,0,
53,53,leaderboards_antler_detail,OK,12.901,query_leaderboards_antler_detail,34,337,
